[   0,    0]
[ 654, 1471]
[ 859, 1269]
[ 657, 1478]
[ 861, 1274]
[ 659, 1483]
[ 865, 1280]
[ 870, 1287]
[ 665, 1496]
[ 874, 1293]
[ 879, 1299]
[ 880, 1302]
[ 675, 1517]
[ 882, 1310]
[ 886, 1307]
[ 887, 1311]
[ 888, 1314]
[ 889, 1318]
[ 892, 1317]
[ 682, 1532]
[ 895, 1322]
[ 893, 1325]
[ 899, 1329]
[ 688, 1545]
[ 902, 1333]
[ 905, 1338]
[ 904, 1344]
[ 693, 1556]
[ 908, 1343]
[ 694, 1559]
[ 695, 1562]
[ 912, 1349]
[ 697, 1567]
[ 915, 1351]
[ 699, 1572]
[ 917, 1356]
[ 918, 1359]
[ 922, 1364]
[ 923, 1370]
[ 926, 1371]
[ 935, 1373]
[ 713, 1601]
[ 938, 1381]
[ 936, 1384]
[ 939, 1388]
[ 718, 1612]
[ 940, 1393]
[ 719, 1615]
[ 943, 1400]
[ 945, 1399]
[ 947, 1398]
[ 723, 1624]
[ 950, 1406]
[ 727, 1633]
[ 954, 1409]
[ 730, 1640]
[ 959, 1418]
[ 734, 1649]
[ 963, 1423]
[ 964, 1426]
[ 970, 1431]
[ 969, 1434]
[ 974, 1442]
[ 747, 1676]
[ 980, 1444]
[ 978, 1449]
[ 981, 1447]
[ 983, 1452]
[ 987, 1457]
[ 754, 1691]
[ 986, 1459]
[ 756, 1696]
[ 988, 1465]
[ 757, 1699]
[ 992, 1466]
[ 995, 1467]
[ 759, 1704]
[ 994, 1469]
[ 998, 1474]
[ 764, 1715]
[1003, 1481]
[ 766, 1720]
[1004, 1484]
[1007, 1486]
[1008, 1490]
[1012, 1493]
[1013, 1497]
[ 774, 1737]
[1017, 1500]
[ 777, 1744]
[1018, 1506]
[1019, 1505]
[ 779, 1749]
[ 780, 1752]
[1024, 1513]
[ 783, 1759]
[1030, 1521]
[ 788, 1770]
[1033, 1525]
[1035, 1530]
[1038, 1531]
[1036, 1534]
[ 794, 1783]
[1041, 1538]
[ 795, 1786]
[1045, 1539]
[ 796, 1789]
[ 798, 1794]
[1047, 1548]
[ 799, 1797]
[1052, 1551]
[ 802, 1804]
[1056, 1560]
[1059, 1561]
[1058, 1566]
[1062, 1565]
[ 809, 1819]
[1064, 1570]
[1065, 1575]
[1067, 1580]
[ 816, 1834]
[1072, 1581]
[1073, 1585]
[ 820, 1843]
[ 821, 1846]
[1077, 1592]
[ 823, 1851]
[1081, 1598]
[ 827, 1860]
[1086, 1604]
[ 828, 1863]
[1088, 1610]
[1089, 1609]
[ 832, 1872]
[1091, 1617]
[1093, 1616]
[1098, 1619]
[1099, 1627]
[1102, 1629]
[ 842, 1893]
[ 843, 1896]
[1104, 1635]
[1108, 1638]
[1112, 1644]
[ 850, 1911]
[1113, 1650]
[ 851, 1914]
[1120, 1645]
[1116, 1651]
[1118, 1654]
[1123, 1657]
[1122, 1661]
[ 857, 1927]
[1126, 1664]
[1127, 1668]
[ 862, 1938]
[1130, 1670]
[1129, 1673]
[ 864, 1943]
[1135, 1677]
[ 866, 1948]
[ 867, 1951]
[ 868, 1954]
[1139, 1684]
[ 869, 1957]
[ 871, 1962]
[ 872, 1965]
[1147, 1693]
[1148, 1697]
[1149, 1700]
[ 876, 1974]
[1155, 1707]
[1157, 1705]
[1156, 1710]
[1159, 1712]
[1160, 1716]
[1162, 1719]
[1165, 1723]
[1167, 1722]
[1164, 1728]
[ 890, 2003]
[1170, 1730]
[1171, 1734]
[1172, 1733]
[ 896, 2016]
[ 897, 2019]
[1177, 1739]
[1182, 1747]
[1183, 1750]
[ 906, 2038]
[1189, 1755]
[1191, 1762]
[ 909, 2045]
[1192, 1765]
[ 911, 2050]
[1193, 1768]
[1198, 1767]
[1203, 1779]
[1204, 1782]
[1209, 1788]
[1211, 1791]
[ 927, 2083]
[1214, 1796]
[1217, 1798]
[1218, 1801]
[ 930, 2090]
[ 931, 2093]
[1222, 1807]
[1221, 1814]
[1229, 1815]
[1233, 1821]
[1235, 1824]
[ 944, 2120]
[1236, 1828]
[1237, 1827]
[1239, 1830]
[1238, 1835]
[1240, 1838]
[1243, 1837]
[ 952, 2137]
[1248, 1844]
[ 953, 2140]
[1244, 1850]
[ 955, 2145]
[1253, 1848]
[ 956, 2148]
[1254, 1853]
[ 957, 2151]
[1257, 1857]
[1256, 1859]
[1258, 1865]
[1260, 1864]
[ 965, 2168]
[1264, 1869]
[ 966, 2171]
[ 967, 2174]
[1271, 1873]
[1272, 1883]
[ 972, 2185]
[1275, 1885]
[1276, 1884]
[ 973, 2188]
[ 975, 2193]
[1278, 1890]
[ 976, 2196]
[1282, 1897]
[1281, 1899]
[1286, 1902]
[1288, 1901]
[1289, 1906]
[1295, 1916]
[1298, 1917]
[1300, 1920]
[1301, 1924]
[1304, 1926]
[ 997, 2239]
[1305, 1933]
[1308, 1932]
[ 999, 2244]
[1001, 2249]
[1315, 1940]
[1005, 2258]
[1319, 1945]
[1320, 1952]
[1009, 2267]
[1010, 2270]
[1328, 1958]
[1326, 1961]
[1327, 1960]
[1331, 1967]
[1330, 1971]
[1335, 1966]
[1336, 1973]
[1332, 1979]
[1021, 2293]
[1339, 1978]
[1341, 1985]
[1025, 2302]
[1027, 2307]
[1346, 1989]
[1340, 1997]
[1028, 2310]
[1350, 1992]
[1352, 1998]
[1357, 2002]
[1355, 2005]
[1360, 2009]
[1039, 2333]
[1363, 2011]
[1365, 2017]
[1043, 2342]
[1044, 2345]
[1368, 2022]
[1367, 2025]
[1046, 2350]
[1369, 2031]
[1375, 2026]
[1048, 2355]
[1376, 2032]
[1051, 2362]
[1377, 2037]
[1380, 2041]
[1057, 2375]
[1387, 2052]
[1060, 2382]
[1391, 2057]
[1063, 2389]
[1395, 2058]
[1394, 2062]
[1068, 2400]
[1401, 2072]
[1402, 2071]
[1070, 2405]
[1404, 2074]
[1071, 2408]
[1407, 2079]
[1074, 2415]
[1410, 2084]
[1076, 2420]
[1078, 2425]
[1415, 2091]
[1080, 2430]
[1413, 2098]
[1417, 2096]
[1083, 2437]
[1422, 2103]
[1424, 2102]
[1090, 2452]
[1430, 2113]
[1429, 2115]
[1094, 2461]
[1435, 2122]
[1095, 2464]
[1438, 2126]
[1440, 2129]
[1443, 2133]
[1101, 2477]
[1445, 2136]
[1105, 2486]
[1450, 2143]
[1453, 2147]
[1451, 2150]
[1109, 2495]
[1458, 2153]
[1461, 2158]
[1115, 2508]
[1462, 2162]
[1463, 2161]
[1117, 2513]
[1464, 2170]
[1119, 2518]
[1470, 2172]
[1472, 2175]
[1124, 2529]
[1473, 2180]
[1477, 2181]
[1485, 2194]
[1133, 2548]
[1487, 2197]
[1489, 2200]
[1488, 2202]
[1136, 2555]
[1491, 2203]
